CER Category					Examples	AutoExpanded
			Bird Animal Part		wing, feather, beak, crown, nape, tail feather, tail feathers, tarsus, hind toe, throat, back, forehead	wing, feather, beak, crown, nape, tail feathers, tarsus, hind toe, throat, back, forehead, |, hind-toe, foreheads, backing, beaks, crowns, winged, feathering, feathers, wings, crowning, backed, napes, backs, tail-feathers, crowned, throats, winging, feathered, tarsi
		Reptile			lizard, reptile, crocodile, snake, turtle, rat snake, Elaphe obsoleta, western coral snake, Arizona mountain king snake, brown tree snake, chameleon, alligator, american alligator, horned lizard, tortoise, tortoises, iguana	lizard, reptile, crocodile, snake, turtle, rat snake, elaphe obsoleta, western coral snake, arizona mountain king snake, brown tree snake, chameleon, alligator, american alligator, horned lizard, tortoises, iguana, |, crocodiles, tortoise, snaked, snakes, iguanas, western-coral-snake, reptiles, horned-lizard, snaking, american-alligator, lizards, chameleons, arizona-mountain-king-snake, alligators, brown-tree-snake, elaphe-obsoleta, turtles, rat-snake
			Reptile Animal Part		scale, scales, venom, claw, tail, forked tongue, poison gland, venom canal, fang, movable maxillary, tongue sheath	scales, venom, claw, tail, forked tongue, poison gland, venom canal, fang, movable maxillary, tongue sheath, |, tongue-sheath, venom-canal, clawed, forked-tongue, venoms, scaling, tailed, poison-gland, fangs, tails, scaled, movable-maxillary, clawing, claws, tailing, venomous
		Amphibian			amphibian, tadpole, frog, newt, salamander, Florida Bog Frog, Lithobates okaloosae, mountain chorus frog, pacific giant salamander, Neobatrachia, Insuetophrynus acarpicus, tree frog, toad, okaloosae, okaloosa	amphibian, tadpole, frog, newt, salamander, florida bog frog, lithobates okaloosae, mountain chorus frog, pacific giant salamander, neobatrachia, insuetophrynus acarpicus, tree frog, toad, |, salamanders, frogs, lithobates-okaloosae, newts, pacific-giant-salamander, florida-bog-frog, frogged, tree-frog, toads, frogging, amphibians, tadpoles, mountain-chorus-frog, insuetophrynus-acarpicus
			Amphibian Animal part		tail, lungs, skin, eyes, feet, organs, mucus, toes, tympanum, forelimbs	tail, lungs, skin, eyes, feet, organs, mucus, toes, tympanum, forelimbs, |, eye, skinning, organ, tympana, tympanums, tailed, eyeing, footing, skinned, foots, tails, footed, skins, eying, toeing, eyed, toed, tailing
		animal additional categories			invertebrate, mollusk, vertebrate, desert animal, desert animals, forest dweller, forest dwellers, ocean dweller, ocean dwellers, arthropod, arthropods, nocturnal, diurnal, bipedal	invertebrate, mollusk, vertebrate, desert animals, forest dwellers, ocean dwellers, arthropods, nocturnal, diurnal, bipedal, |, mollusks, invertebrates, vertebrates, desert-animals, forest-dwellers, ocean-dwellers
		Animal Part			hind leg, hind legs, animal tissue, lung, lungs, brain, skin, eye, eyes, heart, organ, body, bone, forelimb, leg, legs, foot, feet, abdomen, tooth, teeth, gland, glands, tissue, neck, arm, ear, ears, whisker, whiskers, bristles, belly, bellies, limb, limbs, chest, appendage, appendages, toe	hind legs, animal tissue, lungs, brain, skin, eyes, heart, organ, body, bone, forelimb, legs, feet, abdomen, teeth, gland, glands, tissue, neck, arm, ear, ears, whiskers, bristles, belly, bellies, limbs, chest, appendages, |, eye, skinning, animal-tissue, bodies, legging, bristling, chests, legged, necking, eyeing, footing, skinned, necked, hearts, arms, foots, organs, bristle, abdomina, bellied, footed, tissues, abdomens, braining, arming, bones, forelimbs, skins, bellying, eying, limb, hind-legs, eyed, armed, leg, earing, eared, boned, brained, necks, bristled, brains, boning
		animal classification method			physical feature, physical features, skeletal structure, skeleton, paw, paws, covering, skin, morphology, mode of reproduction, genetic distance, population variability	physical features, skeletal structure, skeleton, paws, covering, skin, morphology, mode of reproduction, genetic distance, population variability, |, genetic-distance, skinning, morphologies, population-variability, pawed, covers, skeletal-structure, pawing, skinned, skeletons, mode-of-reproduction, covered, skins, paw, physical-features
		actions for animals			swim, eat, hatch, lay egg, lay eggs, lays eggs, sit, tunnel, shed, hunt, hibernate, migrate, repair, fight, hide, hid, fly, flying, dig, drink, sleep, feed, stretch, stretching, shed, shedding, chirp, flight, learn, learning, water, watering, grow, growing, hide, climb, climbs, bite, bites, vocalize, vocalization, climbing, build, jump, hunt, hunting, fish, fishing, jump, play, plays, hike, hiking, lay, give birth, shiver, shivers, kick, kicks, catch, chatching, blink, blinking, salivate, salivating, hang, crouch, crouches, crawl, crawling, chase, give birth, gave birth, roar, howl, cluck, clucks, huddle, huddling, sprint, sprinted, maternal care, bury, catches, peck, catching, shivering, meow, meowing, squint, squinting, blinking, scratch, scratching, salute, saluting, laugh, laughing, ride, riding, trot, trotting, chase, chasing, lay, beg, drools, roam, roaming, blink, jog, jogged, jogs, jogging, catch, leap, drool, itch	swim, eat, hatch, lays eggs, sit, tunnel, shed, hunt, hibernate, migrate, repair, fight, hid, flying, dig, drink, sleep, feed, stretching, shedding, chirp, flight, learning, watering, growing, hide, climbs, bites, vocalization, climb, climbing, build, jump, hunting, fishing, jump, play, plays, hike, hiking, lay, give birth, shiver, shivers, kick, kicks, catch, chatching, blink, blinking, salivate, salivating, hang, crouch, crouches, crawl, crawling, chase, give birth, gave birth, roar, howl, cluck, clucks, huddle, huddling, sprint, sprinted, maternal care, bury, catches, peck, catching, shivering, meowing, squinting, blinking, scratching, saluting, laughing, riding, trotting, chasing, lay, beg, drools, roaming, blink, |, huddles, crawls, tunneling, hatching, buildings, roared, salivates, hatches, laying, hatched, tunnels, chased, climbers, pecks, learned, players, fights, hunted, learn, vocalizations, built, rode, hung, bit, sits, gave-birth, jumped, hides, scratches, jumping, blinks, laughter, drunken, tunneled, hunter, migrating, hanged, roams, flew, begging, climbed, repairing, swimming, growth, kicked, played, stretches, drinking, sprinting, swimmers, laugh, give-birth, clucking, stretched, fished, clucked, sheds, lying, hidden, stretch, buried, ridden, drooling, crouched, hibernating, swam, maternal-care, bite, salute, drinks, blinked, flies, trots, squints, feeding, crawled, flied, pecked, fishes, repairs, saluted, building, migrated, hikes, huddled, drooled, trotted, learns, chases, salutes, flights, flown, sprints, roars, caught, salivated, repaired, dug, eaten, chirped, hangs, migrates, howling, hiked, roam, player, lies, swum, shivered, hunts, ate, grow, swims, laughs, bitten, squinted, hiding, learnt, buries, hibernates, grown, feeing, lied, drunk, fish, fees, lays-eggs, begged, watered, grows, fought, eating, howls, howled, biting, lain, hibernated, digging, digs, pecking, rides, builds, grew, fighting, begs, burying, playing, waters, sleeping, slept, hanging, ride, kicking, jumps, tunnelling, roaring, crouching, scratched, sleeps, sitting, chirps, sat, hunters, tunnelled, roamed, migrations, migration, laughed, chirping, drank, eats, feeds
		Human			human, students, Kevin, Michael, Andy, Jessica, Felicia, Martin, scientist, observer, Sir Isaac Newton, Mr. Thompson, class, people, paleontologists, geologist, pilots, passengers, customer, farmer, doctor, waiter, cook, passengers, storm chasers, football team, construction crew, homeowner, researchers, Micheal's family, hydrologist, community, government officials, council memebers, supervisor, patients, mountain climbers, whalers, neighbor, friend, astronauts, city administrators, ranchers, workers, drivers, gardener, bowler, carpenter, construction workers, forecaster, campers, referee, runner, oneself, driver, soccer player, worker, jogger, passenger, competitor, competitors, parachutist, fourth graders, boy, girl, athlete, teenager, lab technician, visitor, health care professional, sailor, man, woman, explorers, user, manager, jeweler, Sherry, workers, collectors, runner, runners, partner, college student, subjects, subject, fisherman, Oscar, Sue, bird watcher, writer, professionals, professional, Andreas, Indians, Indian, expert, experts, radical, radicals, official, officials, dentist, dentists, graders, grader, participant, participants, person, Andrea, inspector, inspectors, official, officials, owner, owners, miller, millers, Frank, Dr., doctor, widow, widows, shepherd, shepherds, carver, carvers, Helens, Helen, watcher, watchers, Tom, patient, patients, architect, architects, Mr., mister, winner, winners, ranger, rangers, himself, herself, themselves, him, her, them, his, her, their, Mark, chef, chefs, Audrey, Leann, Delilah, Annette, Kelly, William, Lawrence, chaser, chasers, patty, Isabel, king, Rolanda, Barney, viking, technician, technicians, Mrs., Mrs, Dalton, person, people, smoker, smokers, someone	human, students, kevin, michael, andy, jessica, felicia, martin, scientist, observer, sir isaac newton, mr. thompson, class, people, paleontologists, geologist, pilots, passengers, customer, farmer, doctor, waiter, cook, passengers, storm chasers, football team, construction crew, homeowner, researchers, micheal's family, hydrologist, community, government officials, council memebers, supervisor, patients, mountain climbers, whalers, neighbor, friend, astronauts, city administrators, ranchers, workers, drivers, gardener, bowler, carpenter, construction workers, forecaster, campers, referee, runner, oneself, driver, soccer player, worker, jogger, passenger, competitor, competitors, parachutist, fourth graders, boy, girl, athlete, teenager, lab technician, visitor, health care professional, sailor, man, woman, explorers, user, manager, jeweler, sherry, workers, collectors, runner, runners, partner, college student, subjects, subject, fisherman, oscar, sue, bird watcher, writer, |, hydrologists, observers, cooks, micheal's-family, sir-isaac-newton, partnering, managers, storm-chasers, collector, women, mountain-climbers, bird-watcher, geologists, classing, classes, construction-crew, doctored, city-administrators, humanity, manned, soccer-player, supervisors, fishermen, neighbors, users, gardeners, cooked, persons, government-officials, jewelers, humans, subjected, refereed, men, writers, fourth-graders, manning, partnerships, partnership, piloting, doctors, referees, refereeing, astronaut, girls, sherries, farms, classed, waiters, farmed, farmers, subjecting, homeowners, girlfriend, partners, parachutists, sued, cooking, pilot, friends, boyfriend, mans, teenagers, bowlers, farming, martins, forecasters, college-student, construction-workers, oscars, communities, scientists, neighboring, sues, farm, football-team, suing, partnered, neighbored, mr.-thompson, customers, piloted, athletes, boys, council-memebers, joggers, visitors, carpenters, sailors, doctoring, lab-technician, farmland, health-care-professional
			Human part		mouth, liver, lung lungs, muscle, joint, body, eye, heart, tooth, teeth, blood vessel, chin, skin, wrist, fingertip, fingertips, fingerprint, fingerprints, fingernail, hand, finger, hands, arm, elbow, chest, ankle, knee, thumb, waist, freckel, freckles, curly hair, hairline, earlobe, widow's peak, dimple, dimples, tissue, finger, fingers, cuticle, cuticles	mouth, liver, lungs, muscle, joint, body, eye, heart, teeth, blood vessel, chin, skin, wrist, fingertips, fingerprints, fingernail, hand, finger, hands, arm, elbow, chest, ankle, knee, thumb, waist, freckles, curly hair, hairline, earlobe, widow's peak, dimples, tissue, fingers, |, jointing, muscles, kneed, skinning, thumbed, lives, fingerprint, mouthed, bodies, dimple, freckling, handing, thumbing, elbowed, ankles, chins, chests, wrists, earlobes, kneeing, eyeing, elbowing, fingerprinted, skinned, livest, hearts, knees, blood-vessel, hairlines, arms, widow's-peak, dimpling, fingering, jointed, ching, eyes, tissues, waists, arming, fingernails, freckled, thumbs, lived, mouthing, muscled, mouths, skins, eying, fingertip, eyed, armed, elbows, curly-hair, fingerprinting, fingered, joints, dimpled, jointly, muscling, living, handed
				parts of the eye	retina, pupil, iris, lens, cornea, conjunctiva, sclera, optic nerve, macula, fovea, anterior chamber, posterior chamber, vitreous humor, ciliary body, trabecular meshwork, eyelashes, eyelash	retina, pupil, iris, lens, cornea, conjunctiva, sclera, optic nerve, macula, fovea, anterior chamber, posterior chamber, vitreous humor, ciliary body, trabecular meshwork, eyelashes, |, retinae, ciliary-body, scleras, sclerae, conjunctivae, vitreous-humor, anterior-chamber, maculae, corneal, pupils, trabecular-meshwork, foveas, retinal, retinas, irides, posterior-chamber, optic-nerve, irises, maculas, foveae, conjunctivas, lenses
	Cell				skin cell, liver cell, chromatophore, muscle cell, cell, prokaryotic cell, stem cell, phagocyte, trichocyte, keratinocyte, gonadotrope, corticotrope, thyrotrope, somatotrope, lactotroph, ameloblast, neuron, nerve cell, glia, schwann cell, satellite glial cell, chromaffin cell, glomus cell, melanocyte, nevus cell, merkel cell, odontoblast, cementoblast, corneal keratocyte, astrocyte, ependymocyte, Muller glia, oligodendrocyte, pituicyte, pinealocyte, interstitial cell, chondrocyte, adipocyte, myocyte, myosatellite cell, tendon cell, cardiac muscle cell, fibrocyte, endothelial cell, mesangial cell, intraglomerular, extraglomerular, juxtaglomerular, macula densa cell, stromal cell, telocyte, podocyte, sertoli cell, leydig cell, granulosa cell, peg cell, germ cells, spermatozoon, ovum, lymphoblast, myeloid cell, mesoangioblast, pericyte, mural cell, pneumocyte, club cell, goblet cell, enteroendocrine cell, g cell, delta cell, enterochromaffin-like cell, gastric chief cell, parietal cell, foveolar cell, enteroendocrine cell, gastric inhibitory peptide, s cell, cholecystokinin, paneth cell, tuft cell, enterocyte, microfold cell, hepatocyte, hepatic stellate cell, centroacinar cell, beta cell, PP cell, epsilon cell, follicular cell, parafollicular cell, oxyphil cell, sex cell, prokaryotic, eukaryotic, gondia cell, spindle fiber, chemiosmotic gradient, epithelial cell, eukaryotic cell, electrochemical gradient, cancerous cell, gonidia, gonidium, epithelial	skin cell, liver cell, chromatophore, muscle cell, cell, prokaryotic cell, stem cell, phagocyte, trichocyte, keratinocyte, gonadotrope, corticotrope, thyrotrope, somatotrope, lactotroph, ameloblast, neuron, nerve cell, glia, schwann cell, satellite glial cell, chromaffin cell, glomus cell, melanocyte, nevus cell, merkel cell, odontoblast, cementoblast, corneal keratocyte, astrocyte, ependymocyte, muller glia, oligodendrocyte, pituicyte, pinealocyte, interstitial cell, chondrocyte, adipocyte, myocyte, myosatellite cell, tendon cell, cardiac muscle cell, fibrocyte, endothelial cell, mesangial cell, intraglomerular, extraglomerular, juxtaglomerular, macula densa cell, stromal cell, telocyte, podocyte, sertoli cell, leydig cell, granulosa cell, peg cell, germ cells, spermatozoon, ovum, lymphoblast, myeloid cell, mesoangioblast, pericyte, mural cell, pneumocyte, club cell, goblet cell, enteroendocrine cell, g cell, delta cell, enterochromaffin-like cell, gastric chief cell, parietal cell, foveolar cell, enteroendocrine cell, gastric inhibitory peptide, s cell, cholecystokinin, paneth cell, tuft cell, enterocyte, microfold cell, hepatocyte, hepatic stellate cell, centroacinar cell, beta cell, pp cell, epsilon cell, follicular cell, parafollicular cell, oxyphil cell, sex cell, prokaryotic, eukaryotic, gondia cell, spindle fiber, chemiosmotic gradient, epithelial cell, eukaryotic cell, electrochemical gradient, cancerous cell, |, hepatocytes, cells, mural-cell, parietal-cell, myocytes, oxyphil-cell, myosatellite-cell, stem-cell, merkel-cell, prokaryotic-cell, centroacinar-cell, enterochromaffin like cell, astrocytes, liver-cell, muscle-cell, stromal-cell, glial, foveolar-cell, nevus-cell, epsilon-cell, chondrocytes, gastric-chief-cell, microfold-cell, schwann-cell, cellular, chemiosmotic-gradient, electrochemical-gradient, endothelial-cell, beta-cell, muller-glia, leydig-cell, tendon-cell, gondia-cell, spindle-fiber, chromaffin-cell, goblet-cell, enterochromaffin-like-cell, s-cell, mesangial-cell, follicular-cell, club-cell, interstitial-cell, granulosa-cell, sertoli-cell, cardiac-muscle-cell, eukaryotic-cell, melanocytes, skin-cell, satellite-glial-cell, phagocytes, adipocytes, delta-cell, sex-cell, cancerous-cell, stem-cells, paneth-cell, macula-densa-cell, myeloid-cell, parafollicular-cell, gastric-inhibitory-peptide, enteroendocrine-cell, g-cell, tuft-cell, neurons, spermatozoa, ova, corneal-keratocyte, nerve-cell, oligodendrocytes, keratinocytes, ovas, germ-cells, epithelial-cell, pp-cell, glomus-cell, peg-cell, hepatic-stellate-cell, neuronal
		Animal Cell Part			cell membrane, mitochondrion, centriole, ribosome, chromosome, endoplasmic reticulum, nuclear membrane, necluolus, nucleus, nuclear membrane, golgi apparatus, vacuole, cytoplasm, organelle, microtubule, cytosol, centrosomes, cytoskeleton, vesicles, lysosomes, peroxisomes, metabolite, tubulin, marker protein, microfilament, golgi complex, double-membrane, lipid bilayer, nuclear envelope, endomembrane, endomembranes	cell membrane, mitochondrion, centriole, ribosome, chromosome, endoplasmic reticulum, nuclear membrane, necluolus, nucleus, nuclear membrane, golgi apparatus, vacuole, cytoplasm, organelle, microtubule, cytosol, centrosomes, cytoskeleton, vesicles, lysosomes, peroxisomes, metabolite, tubulin, marker protein, microfilament, golgi complex, double-membrane, lipid bilayer, nuclear envelope, |, organelles, golgi-complex, cytoplasms, cell-membrane, cytosols, mitochondria, mitochondrions, lipid-bilayer, centrioles, vacuoles, golgi-apparatus, nucleuses, vesicle, lysosome, cytosolic, marker-protein, cytoskeletons, chromosomes, nuclear-envelope, mitochondrial, endoplasmic-reticulum, ribosomes, nuclei, tubulins, microtubules, metabolites, nuclear-membrane, double membrane
		Plant Cell Part			mitochondrion, cell wall, cell membrane, choloroplast, ribosome, endoplasmic reticulum, nuclear membrane, nucleus, nucleolus, chromosome, vacuole, dictyosome, cytoplasm, organelle, plastids, golgi body, peroxisomes, chromoplast, cytosol, cytoskeleton, metabolite, tubulin, marker protein, cuticle, mesophyll, golgi complex, double-membrane, lipid bilayer, nuclear envelope, central vacuole, bilayer	osmosis, mitosis, cell division, meiosis, cellular respiration, differentiation, diffusion, exocytosis, chemiosmosis, concentration gradient, cellular energy production, cell transport, homeostasis, anaerobic respiration, aerobic respiration, photosynthesis, calvin cycle, krebs cycle, light dependant reactions, electron transport, cell communication, cell cycle, cellular senescence, dna repair, gene expression, metabolism, necrosis, protein targeting, programmed cell death, autolysis, autophagy, branch migration, bulk endocytosis, calcium signaling, cap formation, cell death, cell growth, cell migration, chromosomal crossover, coagulative necrosis, cytoplasm-to-vacuole targeting, cytoplasmic streaming, protoplasmic streaming, cyclosis, cytostasis, dentinogenesis, dna damage, ectopic recombination, efferocytosis, emperipolesis, endocytic cycle, endocytosis, endoplasmic-reticulum-associated protein degredation, epithelial-mesenchymal transition, ferroptosis, fibriniod necrosis, filamentation, genetic recombiniation, histone methylation, interkinesis, interphase ii, intracellular transport, intraflagellar transport, karyolysis, karyorrhexis, klerokinesis, malignant transformation, microautophagy, mitotic recombination, necrobiosis, necroptosis, nemosis, neuronal cell cycle, parasexual cycle, parthanatos, passive transport, peripolesis, phagocytosis, phagoptosis, pinocytosis, fluid endocytosis, potocytosis, pyknosis, karyopynosis, quantal nuerotransmitter release, receptor-mediated endocytosis, ribosome biogenesis, site-specific recombination, squelching, stringent response, stringent control, trans-endocytosis, transcytosis, prophase, cell-mediated, |, endoplasmic reticulum associated protein degredation, homeostases, light-dependant-reactions, cap-formation, receptor-mediated-endocytosis, calvin-cycle, branch-migration, cytoplasmic-streaming, passive-transport, cytoplasm to vacuole targeting, receptor mediated endocytosis, calcium-signaling, ribosome-biogenesis, bulk-endocytosis, endocytic-cycle, exocytoses, ectopic-recombination, site-specific-recombination, site specific recombination, programmed-cell-death, dna-repair, coagulative-necrosis, cell-death, interphase-ii, cellular-energy-production, osmoses, phagocytoses, endocytoses, intracellular-transport, squelched, intraflagellar-transport, cell-cycle, meioses, dna-damage, metabolisms, parasexual-cycle, electron-transport, cellular-senescence, histone-methylation, concentration-gradient, cell-division, malignant-transformation, stringent-response, cell-migration, necroses, endoplasmic-reticulum-associated-protein-degredation, genetic-recombiniation, photosyntheses, protoplasmic-streaming, mitotic-recombination, fibriniod-necrosis, epithelial mesenchymal transition, neuronal-cell-cycle, cell mediated, epithelial-mesenchymal-transition, cell-transport, mitoses, krebs-cycle, stringent-control, protein-targeting, aerobic-respiration, gene-expression, diffusions, quantal-nuerotransmitter-release, squelch, differentiations, squelches, anaerobic-respiration, cell-communication, cytoplasm-to-vacuole-targeting, trans endocytosis, cell-growth, cellular-respiration, fluid-endocytosis, chromosomal-crossover
		Cell processes			osmosis, mitosis, cell division, meiosis, cellular respiration, differentiation, diffusion, exocytosis, chemiosmosis, concentration gradient, cellular energy production, cell transport, homeostasis, anaerobic respiration, aerobic respiration, photosynthesis, calvin cycle, krebs cycle, light dependant reactions, electron transport, cell communication, cell cycle, cellular senescence, DNA repair, gene expression, metabolism, necrosis, protein targeting, programmed cell death, autolysis, autophagy, branch migration, bulk endocytosis, calcium signaling, cap formation, cell death, cell growth, cell migration, chromosomal crossover, coagulative necrosis, cytoplasm-to-vacuole targeting, cytoplasmic streaming, protoplasmic streaming, cyclosis, cytostasis, dentinogenesis, DNA damage, ectopic recombination, efferocytosis, emperipolesis, endocytic cycle, endocytosis, endoplasmic-reticulum-associated protein degredation, epithelial-mesenchymal transition, ferroptosis, fibriniod necrosis, filamentation, genetic recombiniation, histone methylation, interkinesis, interphase II, intracellular transport, intraflagellar transport, karyolysis, karyorrhexis, klerokinesis, malignant transformation, microautophagy, mitotic recombination, necrobiosis, necroptosis, nemosis, neuronal cell cycle, parasexual cycle, parthanatos, passive transport, peripolesis, phagocytosis, phagoptosis, pinocytosis, fluid endocytosis, potocytosis, pyknosis, karyopynosis, quantal nuerotransmitter release, receptor-mediated endocytosis, ribosome biogenesis, site-specific recombination, squelching, stringent response, stringent control, trans-endocytosis, transcytosis, prophase, cell-mediated, self-digestion	|
		Cells and Genetics			haploid, diploid, aneuploid, ployploid, germ cell, zygote, triploid, tetraploid, hexaploid, octoploid, gamete, chromosome, chromatin, ATP, ADP, mutagens, mutagen, ccgcat	haploid, diploid, aneuploid, ployploid, germ cell, zygote, triploid, tetraploid, hexaploid, octoploid, gamete, chromosome, chromatin, atp, adp, |, chromatins, gametes, zygotes, chromosomes, germ-cell
	Eukaryote				eukaryota, eukaryotic organism, amoeba, paramecium, yeast, euglena, dinoflagellates, forams, opisthokont, oomycete, heterokont, choanoflagellates, ciliate, diatom, eukaryotic host	eukaryota, eukaryotic organism, amoeba, paramecium, yeast, euglena, dinoflagellates, forams, opisthokont, oomycete, heterokont, choanoflagellates, ciliate, diatom, eukaryotic host, |, eukaryotic-host, eukaryotic-organism, ciliates, amoebas, amoebae, yeasts, diatoms
	Fungi				fungi, mushroom, heterotroph, mold, sac fungi, eomycota, microsporidia, hyphomycetes, aspergillus, penicillium, tuber, candida, sordariomycetes, fungus, bracket fungus, fungus cultures	fungi, mushroom, heterotroph, mold, sac fungi, eomycota, microsporidia, hyphomycetes, aspergillus, penicillium, tuber, candida, sordariomycetes, fungus, bracket fungus, fungus cultures, |, molding, mushroomed, molds, molded, fungus-cultures, candidae, bracket-fungus, mushrooms, sac-fungi, tubers, tubera, funguses, mushrooming
	Genetics				DNA, hereditary material, genetic, chromosome, duplication, gene, genetic material, ABO blood classification, allele, chromatid, spindle, mRNA, amino acid, autosome, blastula, genetic engineering, gene splicing, Human Genome Project, cloning, independent assortment, heterozygous, homozygous, gene shuffling, gene sequencing, gene pool, genetic predisposition, gel electrophoresis, genetically modified, genetically, polymerase, ADP, ATP, tRNA, conjugation, adenosine triphosphate, hereditary information, complementary base, rRNA, RNA, monomer, triglyceride, dipeptide, phospholipid, genetically, peptide, peptides, predisposition, predispositions, trisomy, ribosomal	dna, hereditary material, genetic, chromosome, duplication, gene, genetic material, abo blood classification, allele, chromatid, spindle, mrna, amino acid, autosome, blastula, genetic engineering, gene splicing, human genome project, cloning, independent assortment, heterozygous, homozygous, gene shuffling, gene sequencing, gene pool, genetic predisposition, gel electrophoresis, genetically modified, genetically, polymerase, adp, atp, trna, conjugation, adenosine triphosphate, hereditary information, complementary base, rrna, rna, monomer, triglyceride, dipeptide, phospholipid, genetically, |, polymerases, genetic-material, genes, gene-shuffling, triglycerides, human-genome-project, conjugations, genetics, independent-assortment, alleles, spindles, clones, complementary-base, genetic-predisposition, genetically-modified, gene-splicing, chromatids, spindled, chromosomes, gel-electrophoresis, clone, adenosine-triphosphate, abo-blood-classification, gene-sequencing, hereditary-information, phospholipids, monomeric, gene-pool, mrnas, cloned, amino-acids, genetic-engineering, rna-dependent, hereditary-material, spindling, amino-acid, duplications, monomers
		gene			gene, genetic information, recessive gene, genetic makeup, cistron, factor, dominant gene, genetic marker, homeotic gene, lethal gene, linkage group, linked genes, modifier, modifier gene, mutant gene, nonallele, operator gene, oncogene, transforming gene, polygene, proto-oncogene, regulatory gene, regulator gene, repressor gene, structural gene, suppresson, suppresser, suppressor gene, suppresser gene, transgene, holandric gene, sequence, codon, biochemical makeup, carrier, suppressor, carriers, genome	gene, genetic information, recessive gene, genetic makeup, cistron, factor, dominant gene, genetic marker, homeotic gene, lethal gene, linkage group, linked genes, modifier, modifier gene, mutant gene, nonallele, operator gene, oncogene, transforming gene, polygene, proto-oncogene, regulatory gene, regulator gene, repressor gene, structural gene, suppresson, suppresser, suppressor gene, suppresser gene, transgene, holandric gene, sequence, codon, biochemical makeup, carrier, suppressor, carriers, |, homeotic-gene, sequenced, genes, mutant-gene, regulator-gene, dominant-gene, linkage-group, operator-gene, linked-genes, genetic-makeup, transforming-gene, lethal-gene, recessive-gene, suppressors, structural-gene, oncogenes, factored, repressor-gene, holandric-gene, modifier-gene, sequences, sequencing, biochemical-makeup, proto oncogene, modifiers, genetic-information, suppresser-gene, factors, regulatory-gene, genetic, genetic-marker, factoring, suppressor-gene, codons, transgenes
		inheritance			incomplete dominance, polygenic inheritance, inherit, inherited, inheritance, hereditary pattern, dominant inheritance, recessive inheritance, recessive, linkage, gene linkage, genetic endowment, hereditary information	incomplete dominance, polygenic inheritance, inherit, inherited, inheritance, hereditary pattern, dominant inheritance, recessive inheritance, recessive, linkage, gene linkage, genetic endowment, hereditary information, |, incomplete-dominance, hereditary-pattern, inheriting, gene-linkage, dominant-inheritance, linkages, hereditary-information, polygenic-inheritance, recessives, inherits, recessive-inheritance, genetic-endowment
		mutation			mutation, genetic mutation, chromosomal mutation, deletion, inversion, transposition, point mutation, reversion, saltation	mutation, genetic mutation, chromosomal mutation, deletion, inversion, transposition, point mutation, reversion, saltation, |, reversions, inversions, mutations, point-mutation, genetic-mutation, chromosomal-mutation, transpositions, deletions
		genetic processes			transcription, reverse transcription, translation, reverse translation, copy, express, gene expression, code, synthesize, mutate, protein synthesis, folding, translocation, protein transport, transcriptional regulation, post-transcriptional regulation, translational regulation, genetic linkage, epistasis, DNA replication, suppress, suppresses, suppressed, suppressing, suppression, splice, splicing	transcription, reverse transcription, translation, reverse translation, copy, express, gene expression, code, synthesize, mutate, protein synthesis, folding, translocation, protein transport, transcriptional regulation, post-transcriptional regulation, translational regulation, genetic linkage, epistasis, dna replication, |, translocations, expressing, coded, expressed, copying, mutates, protein-synthesis, translations, transcriptional, coding, copies, transcriptional-regulation, protein-transport, genetic-linkage, synthesized, reverse-translation, post transcriptional regulation, folded, translational-regulation, post-transcriptional-regulation, reverse-transcription, codes, expresses, mutated, folds, dna-replication, synthesizes, transcriptions, mutating, gene-expression, copied, synthesizing
		parts of a chromosome			centromere, chromatid, short arm, long arm, p arm, q arm	centromere, chromatid, short arm, long arm, p arm, q arm, |, q-arm, short-arm, chromatids, long-arm, centromeres, p-arm
		parts of DNA			adenine, cytosine, thymine, guanine, amino acid, nucleotide, phosphate group, sugar group, nitrogen base, deoxyribose	adenine, cytosine, thymine, guanine, amino acid, nucleotide, phosphate group, sugar group, nitrogen base, deoxyribose, |, phosphate-group, nucleotides, guanines, thymines, cytosines, sugar-group, adenines, nitrogen-base, amino-acids, amino-acid
		parts of RNA			uracil, nucleotide, guanine, adenine, cytosine, nucleobases, nitrogenous bases, ribose, phosphate group	uracil, nucleotide, guanine, adenine, cytosine, nucleobases, nitrogenous bases, ribose, phosphate group, |, phosphate-group, nucleotides, guanines, nitrogenous-bases, cytosines, adenines, riboses
		genetic relations			ancestor, generation, inheritance, heredity, diversity, offspring, ancestor, descendant, parent, child, kin, familial, mother, father, grandmother, grandfather, great grantmother, great grandfather, aunt, uncle, cousin, son, daughter, children, child, brother, descended from, parental, twin, twins, fraternal twin, fraternal twins, brothers, sister	ancestor, generation, inheritance, heredity, diversity, offspring, descendant, parent, child, kin, familial, mother, father, grandmother, grandfather, great grantmother, great grandfather, aunt, uncle, son, daughter, children, brother, descended from, mother, grandfather, parental, twins, fraternal twins, brothers, sister, |, fathering, grandfathered, grandfathering, offsprings, descended-from, grandfathers, fathered, twinned, ancestors, twinning, parents, aunts, diversities, great-grantmother, mothered, uncles, sons, daughters, great-grandfather, childs, generations, sisters, inheriting, inherit, inherited, mothering, descendants, brethren, grandmothers, brother-in-law, great-grandfathers, fraternal-twins, mothers, inherits, fathers
